Game,PlayerID,Health,ActionType,ActionString,HeuristicValue,RoundNum
7,2,5,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",78.585,132
7,0,8,TOVPlayerAttack,Default Attack against 26,78.63,133
7,1,14,TOVPlayerUseCard,Played the card: Taunt,78.63,133
7,2,100,TOVPlayerUseCard,Played the card: Life tap,78.63,133
7,0,8,TOVPlayerUseCard,Played the card: Empower,78.673,134
7,1,12,TOVPlayerUseCard,Played the card: Taunt,78.673,134
7,2,99,TOVPlayerAttack,Default Attack against 26,78.673,134
7,0,8,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",78.716,135
7,1,11,TOVPlayerAttack,Default Attack against 20,78.716,135
7,2,96,TOVPlayerAttack,Default Attack against 27,78.716,135
7,0,7,TOVPlayerAttack,Default Attack against 21,78.756,136
7,1,9,TOVPlayerUseCard,Played the card: Dazzle,78.756,136
7,2,84,TOVPlayerUseCard,Played the card: Life tap,78.756,136
7,0,6,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",78.796,137
7,1,6,TOVPlayerAttack,Default Attack against 25,78.796,137
7,2,73,TOVPlayerUseCard,Played the card: Life tap,78.796,137
7,0,5,TOVPlayerAttack,Default Attack against 26,78.834,138
7,1,5,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",78.834,138
7,2,71,TOVPlayerAttack,Default Attack against 25,78.834,138
7,0,2,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",78.871,139
7,1,4,TOVPlayerAttack,Default Attack against 29,78.871,139
7,2,69,TOVPlayerAttack,Default Attack against 24,78.871,139
7,0,1,TOVPlayerAttack,Default Attack against 29,78.907,140
7,1,2,TOVPlayerAttack,Default Attack against 27,78.907,140
7,2,56,TOVPlayerUseCard,Played the card: Life tap,78.907,140
7,0,100,TOVPlayerAttack,Default Attack against 29,78.942,141
7,1,100,TOVPlayerUseCard,Played the card: Dazzle,78.942,141
7,2,63,TOVPlayerUseCard,Played the card: Heal,78.942,141
7,0,98,TOVPlayerAttack,Default Attack against 21,78.975,142
7,1,97,TOVPlayerAttack,Default Attack against 27,78.975,142
7,2,50,TOVPlayerUseCard,Played the card: Life tap,78.975,142
7,0,96,TOVPlayerAttack,Default Attack against 24,79.008,143
7,1,94,TOVPlayerAttack,Default Attack against 21,79.008,143
7,2,49,TOVPlayerAttack,Default Attack against 25,79.008,143
7,0,93,TOVPlayerAttack,Default Attack against 20,79.039,144
7,1,92,TOVPlayerAttack,Default Attack against 25,79.039,144
7,2,49,TOVPlayerAttack,Default Attack against 24,79.039,144
7,0,90,TOVPlayerAttack,Default Attack against 20,79.07,145
7,1,92,TOVPlayerUseCard,Played the card: Dazzle,79.07,145
7,2,48,TOVPlayerAttack,Default Attack against 21,79.07,145
7,0,87,TOVPlayerAttack,Default Attack against 27,79.099,146
7,1,89,TOVPlayerAttack,Default Attack against 25,79.099,146
7,2,45,TOVPlayerAttack,Default Attack against 25,79.099,146
7,0,85,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",79.128,147
7,1,89,TOVPlayerUseCard,Played the card: Taunt,79.128,147
7,2,42,TOVPlayerAttack,Default Attack against 28,79.128,147
7,0,85,TOVPlayerUseCard,Played the card: Cleave,79.156,148
7,1,89,TOVPlayerAttack,Default Attack against 28,79.156,148
7,2,30,TOVPlayerUseCard,Played the card: Life tap,79.156,148
7,0,83,TOVPlayerAttack,Default Attack against 22,79.182,149
7,1,89,TOVPlayerAttack,Default Attack against 20,79.182,149
7,2,29,TOVPlayerAttack,Default Attack against 26,79.182,149
7,0,81,TOVPlayerAttack,Default Attack against 30,79.208,150
7,1,88,TOVPlayerUseCard,Played the card: Taunt,79.208,150
7,2,38,TOVPlayerUseCard,Played the card: Heal,79.208,150
7,0,80,TOVPlayerUseCard,Played the card: Cleave,79.233,151
7,1,87,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",79.233,151
7,2,25,TOVPlayerUseCard,Played the card: Life tap,79.233,151
7,0,77,TOVPlayerAttack,Default Attack against 24,79.258,152
7,1,86,TOVPlayerUseCard,Played the card: Dazzle,79.258,152
7,2,14,TOVPlayerUseCard,Played the card: Life tap,79.258,152
7,0,75,TOVPlayerAttack,Default Attack against 20,79.281,153
7,1,84,TOVPlayerAttack,Default Attack against 24,79.281,153
7,2,14,TOVPlayerAttack,Default Attack against 29,79.281,153
7,0,73,TOVPlayerAttack,Default Attack against 22,79.304,154
7,1,81,TOVPlayerAttack,Default Attack against 29,79.304,154
7,2,11,TOVPlayerAttack,Default Attack against 24,79.304,154
8,0,97,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",-20.0,0
8,1,99,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",-20.0,0
8,2,100,TOVPlayerAttack,Default Attack against 30,-20.0,0
8,0,94,TOVPlayerUseCard,Played the card: null,-18.438,1
8,1,97,TOVPlayerUseCard,Played the card: Taunt,-18.465,1
8,2,99,TOVPlayerAttack,Default Attack against 30,-18.165,1
8,0,94,TOVPlayerUseCard,Played the card: Empower,-16.923,2
8,1,97,TOVPlayerAttack,Default Attack against 25,-16.974,2
8,2,86,TOVPlayerUseCard,Played the card: Life tap,-16.143,2
8,0,94,TOVPlayerUseCard,Played the card: Cleave,-15.45,3
8,1,97,TOVPlayerAttack,Default Attack against 25,-15.525,3
8,2,84,TOVPlayerAttack,Default Attack against 22,-14.654,3
8,0,92,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",-14.166,4
8,1,94,TOVPlayerUseCard,Played the card: Dazzle,-14.112,4
8,2,82,TOVPlayerAttack,Default Attack against 28,-12.969,4
8,0,92,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",-12.81,5
8,1,93,TOVPlayerAttack,Default Attack against 25,-12.735,5
8,2,79,TOVPlayerAttack,Default Attack against 23,-11.333,5
8,0,89,TOVPlayerAttack,Default Attack against 24,-11.484,6
8,1,93,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",-11.412,6
8,2,78,TOVPlayerAttack,Default Attack against 20,-9.749,6
8,0,87,TOVPlayerAttack,Default Attack against 23,-10.2,7
8,1,91,TOVPlayerUseCard,Played the card: Taunt,-10.096,7
8,2,76,TOVPlayerAttack,Default Attack against 29,-8.203,7
8,0,87,TOVPlayerUseCard,Played the card: Empower,-8.966,8
8,1,88,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",-8.832,8
8,2,73,TOVPlayerAttack,Default Attack against 27,-6.707,8
8,0,85,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",-7.758,9
8,1,86,TOVPlayerAttack,Default Attack against 27,-7.592,9
8,2,60,TOVPlayerUseCard,Played the card: Life tap,-4.284,9
8,0,82,TOVPlayerAttack,Default Attack against 27,-6.573,10
8,1,86,TOVPlayerAttack,Default Attack against 29,-6.405,10
8,2,59,TOVPlayerAttack,Default Attack against 26,-3.749,10
8,0,82,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",-5.446,11
8,1,83,TOVPlayerAttack,Default Attack against 26,-5.116,11
8,2,56,TOVPlayerAttack,Default Attack against 26,-2.36,11
8,0,82,TOVPlayerUseCard,Played the card: Cleave,-4.337,12
8,1,82,TOVPlayerUseCard,Played the card: null,-3.991,12
8,2,53,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",-1.019,12
8,0,80,TOVPlayerAttack,Default Attack against 24,-3.248,13
8,1,80,TOVPlayerAttack,Default Attack against 22,-2.868,13
8,2,52,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",0.282,13
8,0,77,TOVPlayerAttack,Default Attack against 30,-2.199,14
8,1,79,TOVPlayerAttack,Default Attack against 30,-1.775,14
8,2,50,TOVPlayerAttack,Default Attack against 30,1.561,14
8,0,77,TOVPlayerUseCard,Played the card: Cleave,-1.181,15
